danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
0.437,0.565,0.697,0.0,0.306,115.389,2,Upbeat Happy Songs
0.437,0.184,0.72,0.00253,0.247,80.088,2,Upbeat Happy Songs
0.437,0.184,0.72,0.00253,0.247,80.088,2,Upbeat Happy Songs
0.624,0.357,0.632,9.2e-06,0.402,79.998,2,Upbeat Happy Songs
0.624,0.433,0.837,0.0294,0.589,124.979,2,Upbeat Happy Songs
0.624,0.644,0.392,1.06e-05,0.309,112.932,2,Upbeat Happy Songs
0.624,0.654,0.577,0.0,0.564,73.898,2,Upbeat Happy Songs
0.624,0.424,0.286,0.0,0.584,76.671,2,Upbeat Happy Songs
0.749,0.463,0.21,0.0382,0.189,90.035,2,Upbeat Happy Songs
0.749,0.403,0.103,0.000186,0.0619,118.153,2,Upbeat Happy Songs
0.874,0.348,0.339,8.6e-06,0.151,111.98,2,Upbeat Happy Songs
0.309,0.418,0.465,7.58e-05,0.146,134.23,2,Upbeat Happy Songs
0.434,0.608,0.564,0.0,0.331,78.606,2,Upbeat Happy Songs
0.434,0.284,0.878,0.0,0.462,163.917,2,Upbeat Happy Songs
0.434,0.586,0.753,0.0144,0.239,78.259,2,Upbeat Happy Songs
0.434,0.314,0.786,0.0,0.347,175.077,2,Upbeat Happy Songs
0.618,0.643,0.569,0.0,0.722,128.992,2,Upbeat Happy Songs
0.618,0.43,0.807,0.0,0.826,117.125,2,Upbeat Happy Songs
0.618,0.239,0.791,0.0,0.327,96.846,2,Upbeat Happy Songs
0.618,0.71,0.407,0.0,0.233,112.014,2,Upbeat Happy Songs
