track_id,genres
4CkgMiMqZ5JzW9iYXSTMTL,"outlaw country, contemporary country, pop"
4OAuvHryIVv4kMDNSLuPt6,pop
6AtZLIzUINvExIUy4QhdjP,pop
4IQkfUsrwXol38VV3U7t7T,"pop, singer-songwriter pop, uk pop"
4OmFmE0fzcMG6g0Y8p4eSD,pop
3S7HNKPakdwNEBFIVTL6dZ,pop
5YqltLsjdqFtvqE7Nrysvs,pop
6pYNq0ZwpPVazKzsqpf0G8,pop
0y6kdSRCVQhSsHSpWvTUm7,"british singer-songwriter, pop"
0v4z1tuZvn6LGknom9Qx7d,pop
7J4b3LVCIGO4CMBDFLPoP6,pop
3oGVx9RBmiYGv5ZCecWLkx,pop
4e5ayHsOLJNLTGfjau2mEw,pop
73qMN9bXy7MSPwwGfH3wQr,pop
4pNApnaUWAL2J4KO2eqokq,pop
7A2cNLRT0YJc1yjxHlKihs,pop
4ex9m6RWw8PcfAZEaktdBL,dancehall
2Bc4XnUlkgPvwvfwsCbgcD,dancehall
1Ofw3qKj5rTbT9ovbMb7oR,"rap, trap, melodic rap, atl hip hop, atl trap"
0ky8syPEVEfD7qCxMTW49X,"rap, hip hop, trap, gangster rap, pop rap, melodic rap, atl hip hop, atl trap"
0bHDsbWkPSJ01adXfObBzJ,"rap, arkansas hip hop, southern hip hop, hip hop, pop rap, melodic rap, memphis hip hop, atl hip hop, trap"
7LrZ3SczM7zlUkVlhevPp2,"contemporary country, country road, country"
7bNX2Fgb4MjPrYbkHaCNwV,"contemporary country, country road, country"
7tK1fO2PVs80OnVB1RSa89,"contemporary country, country road, country"
5qNkZdbdfL9tQm1ppZmUrW,"contemporary country, country road, country"
6XD3HMATLswheYevIfKkSi,"contemporary country, country road, country"
6WCqjXvMxAN2yP4dzeoyhF,"contemporary country, country road, country"
3AsNVBJ7LHsltdu9490ZiS,"contemporary country, country road, country"
3DamFFqW32WihKkTVlwTYQ,"pop, indietronica"
0vCTQcxSGAgjHaiAsIANKn,"pop, indietronica"
1kPpge9JDLpcj15qgrPbYX,"canadian pop, dance pop, pop, indietronica"
5WnfnSpuNEGXyEt78PBA6d,"rap, hip hop, indie hip hop, oakland hip hop, trap, pop rap, scam rap, underground hip hop, melodic rap, north carolina hip hop, alternative r&b, queens hip hop, miami hip hop, canadian hip hop, sudanese hip hop, cali rap, sudanese pop, atl trap"
59rtiYOPgMEDf3yPEfU2la,"dirty south rap, chopped and screwed, houston rap, crunk"
5krOROgmf8adn3SJzeKLZy,dirty south rap
1Epb6Kfe3GTgKrrWs1Y4Wy,"southern hip hop, dirty south rap, atlanta bass, atl hip hop, crunk, old school atlanta hip hop"
2QurCbkPO14pjrikPNja0h,"rap, dance pop, hip hop, southern hip hop, dirty south rap, gangster rap, pop rap, r&b, urban contemporary, trap"
3LU66Soe9kT5saRxI4wTj6,dirty south rap
5jfdZRtygUxV50rsbIF5zj,"rap, dance pop, hip hop, new orleans rap, southern hip hop, dirty south rap, gangster rap, pop rap, r&b, urban contemporary, chicago rap, trap"
7xVwhsuZTUWhIyFeDH6rYr,dirty south rap
7kAFSrTIOiVZ0gnHBuAH3l,"rap, dance pop, hip hop, st louis rap, dirty south rap, gangster rap, pop rap, urban contemporary"
4TJduXYW1Pg96EDNnfiwxJ,"rap, st louis rap, hip hop, dance pop, dirty south rap, gangster rap, pop rap, hip pop, urban contemporary, east coast hip hop"
